agent,algorithm,observation,reward_function,episode,step,action,y,global_height,reward,cumulative_reward
DQN_base_Punish,DQN,CurvedRays,Base,1,1,3,297,-297,-0.45,-0.45
DQN_base_Punish,DQN,CurvedRays,Base,1,2,9,297,-297,-0.45,-0.9
DQN_base_Punish,DQN,CurvedRays,Base,1,3,9,152,-152,3.55,2.65
DQN_base_Punish,DQN,CurvedRays,Base,1,4,8,7,-7,3.5,6.15
DQN_base_Punish,DQN,CurvedRays,Base,1,5,5,152,-152,-2.9,3.2500000000000004
DQN_base_Punish,DQN,CurvedRays,Base,1,6,8,7,-7,0.04999999999999999,3.3000000000000003
DQN_base_Punish,DQN,CurvedRays,Base,1,7,9,7,-7,-0.45,2.85
DQN_base_Punish,DQN,CurvedRays,Base,1,8,9,263,97,3.55,6.4
DQN_base_Punish,DQN,CurvedRays,Base,1,9,8,164,196,3.55,9.95
DQN_base_Punish,DQN,CurvedRays,Base,1,10,5,263,97,-2.44,7.51
DQN_base_Punish,DQN,CurvedRays,Base,1,11,9,166,194,0.04999999999999999,7.56
DQN_base_Punish,DQN,CurvedRays,Base,1,12,8,70,290,3.55,11.11
DQN_base_Punish,DQN,CurvedRays,Base,1,13,8,151,-151,-5.86,5.249999999999999
DQN_base_Punish,DQN,CurvedRays,Base,1,14,5,297,-297,-2.91,2.339999999999999
DQN_base_Punish,DQN,CurvedRays,Base,1,15,9,152,-152,0.04999999999999999,2.389999999999999
DQN_base_Punish,DQN,CurvedRays,Base,1,16,8,152,-152,-0.5,1.8899999999999988
DQN_base_Punish,DQN,CurvedRays,Base,1,17,8,7,-7,0.0,1.8899999999999988
DQN_base_Punish,DQN,CurvedRays,Base,1,18,9,7,-7,-0.5,1.3899999999999988
DQN_base_Punish,DQN,CurvedRays,Base,1,19,9,263,97,0.0,1.3899999999999988
DQN_base_Punish,DQN,CurvedRays,Base,1,20,8,164,196,0.0,1.3899999999999988
DQN_base_Punish,DQN,CurvedRays,Base,1,21,5,263,97,-2.49,-1.1000000000000014
DQN_base_Punish,DQN,CurvedRays,Base,1,22,9,166,194,0.0,-1.1000000000000014
DQN_base_Punish,DQN,CurvedRays,Base,1,23,8,70,290,0.0,-1.1000000000000014
DQN_base_Punish,DQN,CurvedRays,Base,1,24,8,151,-151,-5.91,-7.010000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,25,5,297,-297,-2.96,-9.970000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,26,9,152,-152,0.0,-9.970000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,27,8,152,-152,-0.5,-10.470000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,28,8,7,-7,0.0,-10.470000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,29,9,7,-7,-0.5,-10.970000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,30,9,263,97,0.0,-10.970000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,31,8,164,196,0.0,-10.970000000000002
DQN_base_Punish,DQN,CurvedRays,Base,1,32,5,263,97,-2.49,-13.460000000000003
DQN_base_Punish,DQN,CurvedRays,Base,1,33,9,166,194,0.0,-13.460000000000003
DQN_base_Punish,DQN,CurvedRays,Base,1,34,8,70,290,0.0,-13.460000000000003
DQN_base_Punish,DQN,CurvedRays,Base,1,35,8,151,-151,-5.91,-19.370000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,36,5,297,-297,-2.96,-22.330000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,37,9,152,-152,0.0,-22.330000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,38,8,152,-152,-0.5,-22.830000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,39,8,7,-7,0.0,-22.830000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,40,9,7,-7,-0.5,-23.330000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,41,9,263,97,0.0,-23.330000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,42,8,164,196,0.0,-23.330000000000005
DQN_base_Punish,DQN,CurvedRays,Base,1,43,5,263,97,-2.49,-25.820000000000007
DQN_base_Punish,DQN,CurvedRays,Base,1,44,9,166,194,0.0,-25.820000000000007
DQN_base_Punish,DQN,CurvedRays,Base,1,45,8,70,290,0.0,-25.820000000000007
